Flow Country	58.3715	-3.65845	2024
Fort Douaumont	49.21667	5.43889	2023
Fort Jesus Museum	-4.07117	39.68206	2011
Fort and Shalamar Gardens in Lahore	31.59028	74.30972	1981
Fort de Loncin	50.67472	5.49194	2023
Forth Bridge	55.9984	-3.3876	2015
Fortifications of Vauban	50.2825	2.75889	2008
Forts and Castles, Volta, Greater Accra, Central and Western Regions	5.10369	-1.241	1979
Fountains Abbey	54.1097	-1.58139	1986
Franciscan Missions in the Sierra Gorda	21.20389	-99.46389	2003
Fromelles (Pheasant Wood) Military Cemetery	50.60777	2.85106	2023
Frontiers of the Roman Empire – The Danube Limes (Western Segment)	48.115	16.861	2021
Fujian Tulou sites	24.6587	116.975	2008
Gammelstad Church Town	65.64611	22.02861	1996
Gamzigrad	43.89931	22.18617	2007
Garajonay National Park	28.12625	-17.23722	1986
Garamba National Park	4.0	29.25	1980
Gardens by Burle Marx	-15.81533	-47.90587	1987
Gaya Tumuli	35.23726	128.87373	2023
Gelati Monastery	42.29472	42.76806	2017
Getbol, Korean Tidal Flats	34.82882	126.10444	2021
Giant's Causeway	55.24083	-6.51167	1986
Givenchy Road Canadian Cemetery	50.37583	2.76472	2023
Glarus thrust	46.91667	9.25	2008
Glienicke Palace	52.4139	13.09392	1990
Gobustan State Historical and Cultural Reserve	40.10556	49.38889	2007
Gochang, Hwasun and Ganghwa Dolmen Sites	34.96667	126.92917	2000
Goguryeo tombs	38.86306	125.415	2004
Gola National Park	7.5	-10.98333	2025
Golden Mountains of Altai	50.46667	86.0	1998
Golestan Palace	35.67972	51.42028	2013
Gordion	39.6501	31.97857	2023
Gorée	14.66694	-17.39833	1978
Grachtengordel	52.36639	4.88583	2010
Grand Canal	30.26139	120.22389	2014
Grand Canyon National Park	36.0553	-112.122	1979
Grand-Place	50.84671	4.35254	1998
Grand-Pré	45.10889	-64.30917	2012
Great Barrier Reef	-16.4	145.8	1981
Great Himalayan National Park	31.80429	77.95102	2014
Great Living Chola Temples	10.78306	79.1325	1987
Great Smoky Mountains National Park	35.61111	-83.425	1983
Great Zimbabwe	-20.27	30.933	1986
Grimeton VLF transmitter	57.11398	12.40442	2004
Gros Morne National Park	49.68944	-57.73806	1987
Gulangyu	24.4475	118.06194	2017
Gunung Mulu National Park	4.0425	114.8125	2000
Gusuku Sites and Related Properties of the Kingdom of Ryukyu	26.2086	127.683	2000
Gyeongju Historic Areas	35.78889	129.22667	2000
Göbekli Tepe	37.22306	38.9225	2018
Göreme National Park and the Rock Sites of Cappadocia	38.66667	34.85	1985
Ha Long Bay	20.9	107.2	1994
Hadrian's Villa	41.94194	12.77528	1999
Hadrian's Wall	55.02417	-2.2925	1987
Haeinsa Temple Janggyeong Panjeon, the Depositories for the Tripitaka Koreana Woodblocks	35.8	128.1	1995
Hallstatt-Dachstein Salzkammergut cultural landscape	47.5594	13.6464	1997
Hampi	15.33455	76.46216	1986
Hanseatic town of Visby	57.64167	18.29583	1995
Hatra	35.58806	42.71833	1985
Hattusha: the Hittite Capital	40.01389	34.62056	1986
Hawaiʻi Volcanoes National Park	19.40083	-155.12361	1987
Head-Smashed-In Buffalo Jump	49.7494	-113.625	1981
Heard Island and McDonald Islands	-53.09353	73.517	1997
Heart of Neolithic Orkney	58.9975	-3.215	1999
Hedge Row Trench Cemetery	50.81941	2.91377	2023
Hegra	26.79167	37.95278	2008
Henderson Island	-24.375	-128.325	1988
Herrenchiemsee	47.86043	12.4022	2025
Hidden Christian Sites in the Nagasaki Region	32.80222	128.90389	2018
Himeji Castle	34.83944	134.69361	1993
Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land	38.98861	141.11028	2011
Hiroshima Peace Memorial	34.39556	132.45361	1996
Historic Centre of Florence	43.77306	11.25611	1982
Historic Centre of Guimarães and Couros Zone	41.44516	-8.29084	2001
Historic Centre of Macau	22.191	113.536	2005
Historic Centre of Naples	40.85139	14.26278	1995
Historic Centre of Sheki with the Khan’s Palace	41.19194	47.17056	2019
Historic Centre of Sighișoara	46.21778	24.79222	1999
Historic Centre of the City of Pienza	43.0766	11.679	1996
Historic Centre of the City of Salzburg	47.7997	13.0486	1996
Historic Centres of Stralsund and Wismar	54.3025	13.08528	2002
Historic City of Ayutthaya	14.34778	100.56056	1991
Historic Inner City of Paramaribo	5.826	-55.15387	2002
Historic Monuments of Ancient Kyoto	35.06028	135.75278	1994
Historic Monuments of Ancient Nara	34.67556	135.83944	1998
Historic Monuments of Novgorod and Surroundings	58.51833	31.28556	1992
Historic Town of Guanajuato and Adjacent Mines	21.01778	-101.25667	1988
Historic Town of Sukhothai and Associated Historic Towns	17.02111	99.70361	1991
Historic Villages of Shirakawa-gō and Gokayama	36.25694	136.90639	1995
Hoh Xil	35.15	91.0	2017
Holašovice	48.96667	14.26667	1998
Holy Trinity Column in Olomouc	49.59402	17.25049	2000
Horezu monastery	45.1686	24.0069	1993
Hortobágy National Park	47.59458	21.15678	1999
Hospicio Cabañas	20.6769	-103.33733	1997
Houthulst military cemetery	50.96667	2.94833	2023
Huanglong	32.74076	103.83108	1992
Huangshan	30.125	118.16667	1990
Huascarán National Park	-9.4	-77.4	1985
Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites	-33.94393	18.52716	2024
Humayun's Tomb	28.59326	77.2506	1993
Humberstone and Santa Laura Saltpeter Works	-20.20833	-69.79444	2005
Humble Administrator's Garden	31.32583	120.62444	1997
Hwaseong Fortress	37.28073	127.0102	1997
Hyde Park Corner (Royal Berks) Cemetery	50.7375	2.88264	2023
Hypogeum of Ħal Saflieni	35.86956	14.50688	1980
Hyrcanian Forests	37.4215	55.7243	2019
Hội An	15.87767	108.33265	1999
Iguaçu National Park	-25.68333	-54.43333	1986
Ilulissat Icefjord	69.15	-49.55	2004
Imperial Citadel of Thang Long	21.0325	105.83972	2010
Imperial Tombs of the Ming and Qing Dynasties	31.01667	112.65	2000
Inca road system	-18.25	-69.59167	2014
Incense Route – Desert Cities in the Negev	31.0975	34.65778	2005
Independence Hall	39.94889	-75.15	1979
Ir.D.F. Woudagemaal	52.84583	5.67889	1998
Ironbridge Gorge	52.62639	-2.47278	1986
Islamic Cairo	30.046	31.2627	1979
Island of Mozambique	-15.03667	40.73278	1991
Island of Saint-Louis	16.02778	-16.50444	2000
Islands and Protected Areas of the Gulf of California	27.75306	-111.67278	2005
Italian Military Cemetery of Bligny	49.1884	3.84087	2023
Itchan Kala	41.37772	60.35948	1990
Itsukushima Shrine	34.29577	132.32011	1996
Ivrea, industrial city of the 20th century	45.4575	7.8692	2018
Iwami Ginzan Silver Mine	35.10722	132.4375	2007
Jaipur	26.915	75.82	2019
Jameh Mosque of Isfahan	32.66972	51.68528	2012
Jantar Mantar	26.92472	75.825	2010
Jeju Volcanic Island and Lava Tubes	33.36139	126.5325	2007
Jesuit Block and Estancias of Córdoba	-31.65611	-64.43528	2000
Jesuit Missions of Chiquitos	-16.2748	-62.5072	1990
Jesuit missions among the Guaraní	-27.25528	-55.53167	1983
Jiuzhaigou Valley	33.2	103.9	1990
Jodensavanne	5.41328	-54.95298	2023
Jodrell Bank Observatory	53.23625	-2.30714	2019
Joggins Fossil Cliffs	45.75194	-64.41806	2008
Jongmyo	37.57472	126.99361	1995
Joya de Cerén	13.82749	-89.35616	1993
Jurassic Coast	50.70556	-2.98989	2001
Jurisdiction of Saint-Emilion	44.89472	0.15528	1999
K'gari	-25.24	153.15	1992
Kahuzi-Biéga National Park	-2.31481	28.75867	1980
Kairouan	35.68333	10.1	1988
Kakadu National Park	-13.0055	132.5195	1981
Kalwaria Zebrzydowska park	49.86032	19.67072	1999
Kandy	7.29306	80.635	1988
Kapova Cave	53.04444	57.06389	2025
Kasubi Tombs	0.32917	32.55333	2001
Kathmandu Valley	27.70394	85.30858	1979
Kaziranga National Park	26.66667	93.35	1985
Kemmelberg Ossuary	50.779	2.80772	2023
Kenya Lake System in the Great Rift Valley	0.4425	36.24	2011
Kevladev National Park	27.16667	77.51667	1985
Kew Gardens	51.47889	-0.29361	2003
Khajuraho Group of Monuments	24.85222	79.92222	1986
Khami	-20.14329	28.42344	1986
Khirokitia	34.79673	33.34372	1998
Kilimanjaro National Park	-3.06667	37.36667	1987
Kinabalu Park	6.15	116.65	2000
King's House on Schachen	47.4197	11.11259	2025
Kizhi Pogost	62.06767	35.22345	1990
Koh Ker	13.78333	104.53333	2023
Komodo National Park	-8.65162	119.57657	1991
Konark Sun Temple	19.88744	86.0946	1984
Kondoa Rock Art Sites	-4.72444	35.83389	2006
Konye-Urgench	42.31667	59.15861	2005
Koutammakou	10.06744	1.13453	2004
Kraków Old Town	50.06209	19.93688	1978
Kronborg Castle	56.03861	12.62194	2000
Krzemionki Prehistoric Striped Flint Mining Region	50.968	21.5023	2019
Kuk Swamp	-5.7825	144.33	2008
L'Anse aux Meadows	51.59527	-55.53122	1978
La Targette British Cemetery	50.35061	2.74881	2023
Lake Baikal	53.30278	108.00472	1996
Lake Malawi National Park	-14.03333	34.88333	1984
Lake Turkana National Parks	3.05131	36.50367	1997
Lakes of Ounianga	18.98333	20.66667	2012
Land of Frankincense	18.25333	53.64759	2000
Landscape of the Pico Island Vineyard Culture	38.51333	-28.54111	2004
Landscapes of Dauria	49.93022	115.42544	2017
Laponian National Park	67.33333	17.58333	1996
Las Médulas	42.4587	-6.759	1997
Lavaux	46.49194	6.74611	2007
Le Colline del Prosecco di Conegliano e Valdobbiadene	45.953	12.2261	2019
